nim,student_name,advisor_name,advisor_type
21010001,Andi Wijaya,Bpk. Budi Santoso S.Kom,Wali
21010001,Andi Wijaya,Bpk. Bambang Permana M.Pd,Wali
21010001,Andi Wijaya,Ibu Sari Wulandari M.Kom,Magang
21010001,Andi Wijaya,Bpk. Joko Susilo M.T,TA
21010002,Siti Rahmawati,Ibu Dewi Lestari M.Pd,Wali
21010002,Siti Rahmawati,Bpk. Agus Prasetyo M.Kom,Magang
21010003,Bagus Prasetyo,Bpk. Eko Nugroho M.T,Wali
21010003,Bagus Prasetyo,Ibu Ratna Sari S.Kom,Magang
21010003,Bagus Prasetyo,Bpk. Dedi Kurniawan M.Pd,TA
21010004,Dewi Anggraini,Ibu Fitri Handayani M.Pd,Wali
21010005,Budi Hartanto,Bpk. Rudi Setiawan M.T,Wali
21010006,Maya Puspita,Ibu Sri Rahayu M.Kom,Wali
21010006,Maya Puspita,Bpk. Hendra Gunawan S.T,Magang
21010007,Rizky Ramadhan,Bpk. Ahmad Fauzi M.T,Wali
21010008,Nur Aini,Ibu Lina Marlina M.Pd,Wali
21010009,Fajar Nugraha,Bpk. Wisnu Wardana S.Kom,Wali
21010010,Linda Kusuma,Ibu Rina Wahyuni M.Pd,Wali
21010010,Linda Kusuma,Bpk. Bayu Pratama M.Kom,Magang
21010010,Linda Kusuma,Ibu Nadia Rahma S.T,TA
21010011,Muhammad Iqbal,Bpk. Yusuf Hakim M.Kom,Wali
21010012,Dian   Kartika,Ibu Putri Ayu Lestari S.Kom,Wali
